"site","sample","count","cover","mined","DOP","Wtemp","DOY"
"R-1",1,14,-0.447615676,"no",0,-3.023357951,-2.712216348
"R-1",2,17,-0.447615676,"no",-0.301823307,-1.364687976,-0.524831475
"R-1",3,22,-0.447615676,"no",0,-0.583417728,0.163789689
"R-1",4,20,-0.447615676,"no",-0.091599899,0.179616118,1.257482125
"R-2",1,13,0.596820901,"no",0.595683397,-0.144345326,-0.686859984
"R-2",2,16,0.596820901,"no",3.169144721,1.412103412,-0.200774457
"R-2",3,28,0.596820901,"no",0,0.946460832,0.609368088
"R-2",4,16,0.596820901,"no",2.015197787,0.041603733,1.297989252
"R-3",1,14,1.342847027,"no",0.595683397,-0.014660072,-0.686859984
"R-3",2,18,1.342847027,"no",3.169144721,-0.402433535,-0.200774457
"R-3",3,16,1.342847027,"no",1.658312395,0.56041671,1.297989252
"R-3",4,8,1.342847027,"no",2.015197787,-0.427638374,1.297989252
"R-4",1,21,-0.944966426,"no",-0.595683397,-0.44694425,-0.970409875
"R-4",2,20,-0.944966426,"no",-0.301823307,-1.11725112,-0.524831475
"R-4",3,25,-0.944966426,"no",0,0.782034632,0.609368088
"R-4",4,44,-0.944966426,"no",-0.091599899,-0.096408651,1.257482125
"R-5",1,15,0.497350751,"no",-0.595683397,-0.602566554,-0.970409875
"R-5",2,21,0.497350751,"no",-0.301823307,-0.860649935,-0.524831475
"R-5",3,14,0.497350751,"no",0,0.102882934,0.609368088
"R-5",4,24,0.497350751,"no",-0.091599899,-0.850876353,1.257482125
"R-6",1,35,0.149205225,"no",0,-0.092471224,-0.767874239
"R-6",2,19,0.149205225,"no",-0.301823307,0.101604506,-0.443817221
"R-6",3,10,0.149205225,"no",0,0.453182231,0.123282561
"R-6",4,28,0.149205225,"no",-2.198397586,0.915682169,0.973932234
"R-7",1,13,1.889932853,"no",1.787050192,-0.248093528,-1.578016784
"R-7",2,7,1.889932853,"no",-0.301823307,-1.108086792,-0.524831475
"R-7",3,9,1.889932853,"no",0,0.052840178,0.082775434
"R-7",4,15,1.889932853,"no",-0.091599899,-0.924482958,1.257482125
"R-8",1,15,-0.149205225,"no",1.787050192,1.169798575,-1.578016784
"R-8",2,18,-0.149205225,"no",-0.301823307,0.394863003,-0.443817221
"R-8",3,10,-0.149205225,"no",0,0.631906362,0.123282561
"R-8",4,20,-0.149205225,"no",-2.198397586,1.863367209,0.973932234
"R-9",1,11,-0.049735075,"no",-1.191366794,-0.792771592,-1.497002529
"R-9",2,11,-0.049735075,"no",-0.301823307,-0.429926519,-0.443817221
"R-9",3,9,-0.049735075,"no",0,-0.354650841,0.123282561
"R-9",4,8,-0.049735075,"no",2.015197787,0.593653271,0.973932234
"R-10",1,10,1.193641802,"no",1.787050192,-0.658763497,-1.578016784
"R-10",2,6,1.193641802,"no",-0.301823307,-1.465495584,-0.524831475
"R-10",3,13,1.193641802,"no",0,-0.647758415,0.082775434
