"date","year","month","kms","PetrolPrice","law","type","kill_injure"
1969-01-01,1969,1,9059,0.102971811805368,0,"drivers",1687
1969-02-01,1969,2,7685,0.102362995884646,0,"drivers",1508
1969-03-01,1969,3,9963,0.102062490635914,0,"drivers",1507
1969-04-01,1969,4,10955,0.100873300511862,0,"drivers",1385
1969-05-01,1969,5,11823,0.101019672891934,0,"drivers",1632
1969-06-01,1969,6,12391,0.10058119170287,0,"drivers",1511
1969-07-01,1969,7,13460,0.103773981457839,0,"drivers",1559
1969-08-01,1969,8,14055,0.104076403554621,0,"drivers",1630
1969-09-01,1969,9,12106,0.103773981457839,0,"drivers",1579
1969-10-01,1969,10,11372,0.103026401330572,0,"drivers",1653
1969-11-01,1969,11,9834,0.102730112155946,0,"drivers",2152
1969-12-01,1969,12,9267,0.101997191539847,0,"drivers",2148
1970-01-01,1970,1,9130,0.101274563494893,0,"drivers",1752
1970-02-01,1970,2,8933,0.10070397563972,0,"drivers",1765
1970-03-01,1970,3,11000,0.100139606658898,0,"drivers",1717
1970-04-01,1970,4,10733,0.0986211043713023,0,"drivers",1558
1970-05-01,1970,5,12912,0.0983492854059603,0,"drivers",1575
1970-06-01,1970,6,12926,0.0980801772105387,0,"drivers",1520
1970-07-01,1970,7,13990,0.0972792082183714,0,"drivers",1805
1970-08-01,1970,8,14926,0.0974106238350488,0,"drivers",1800
1970-09-01,1970,9,12900,0.0974252365245483,0,"drivers",1719
1970-10-01,1970,10,12034,0.0963806330037465,0,"drivers",2008
1970-11-01,1970,11,10643,0.0957389559626943,0,"drivers",2242
1970-12-01,1970,12,10742,0.0951063062359475,0,"drivers",2478
1971-01-01,1971,1,10266,0.0967359671470176,0,"drivers",2030
1971-02-01,1971,2,10281,0.0961092224873678,0,"drivers",1655
1971-03-01,1971,3,11527,0.095367254851379,0,"drivers",1693
1971-04-01,1971,4,12281,0.0947095915871269,0,"drivers",1623
1971-05-01,1971,5,13587,0.0941176202174608,0,"drivers",1805
1971-06-01,1971,6,13049,0.0935321548190638,0,"drivers",1746
1971-07-01,1971,7,16055,0.0929540494377308,0,"drivers",1795
1971-08-01,1971,8,15220,0.0928397862431927,0,"drivers",1926
1971-09-01,1971,9,13824,0.0927247362539862,0,"drivers",1619
1971-10-01,1971,10,12729,0.0922696509793897,0,"drivers",1992
1971-11-01,1971,11,11467,0.0917066851479679,0,"drivers",2233
1971-12-01,1971,12,11351,0.0912620719433678,0,"drivers",2192
1972-01-01,1972,1,10803,0.090711603254936,0,"drivers",2080
1972-02-01,1972,2,10548,0.090276328119195,0,"drivers",1768
1972-03-01,1972,3,12368,0.0899519176272147,0,"drivers",1835
1972-04-01,1972,4,13311,0.0890996386561615,0,"drivers",1569
1972-05-01,1972,5,13885,0.0886791925043499,0,"drivers",1976
1972-06-01,1972,6,14088,0.0881592888670634,0,"drivers",1853
1972-07-01,1972,7,16932,0.0889020568552906,0,"drivers",1965
1972-08-01,1972,8,16164,0.0881813314444876,0,"drivers",1689
1972-09-01,1972,9,14883,0.0889402929599117,0,"drivers",1778
1972-10-01,1972,10,13532,0.0877266104275971,0,"drivers",1976
1972-11-01,1972,11,12220,0.087428846437772,0,"drivers",2397
1972-12-01,1972,12,12025,0.0870354301608856,0,"drivers",2654
1973-01-01,1973,1,11692,0.0864499193294655,0,"drivers",2097
1973-02-01,1973,2,11081,0.0858726409121568,0,"drivers",1963
1973-03-01,1973,3,13745,0.0853982218357345,0,"drivers",1677
1973-04-01,1973,4,14382,0.083821981233605,0,"drivers",1941
1973-05-01,1973,5,14391,0.0845907801489325,0,"drivers",2003
1973-06-01,1973,6,15597,0.0841369037739444,0,"drivers",1813
1973-07-01,1973,7,16834,0.0837784051341314,0,"drivers",2012
1973-08-01,1973,8,17282,0.0835107427259604,0,"drivers",1912
1973-09-01,1973,9,15779,0.0828063938633846,0,"drivers",2084
1973-10-01,1973,10,13946,0.0811788933269884,0,"drivers",2080
1973-11-01,1973,11,12701,0.0828536069623417,0,"drivers",2118
1973-12-01,1973,12,10431,0.0941901186933595,0,"drivers",2150
1974-01-01,1974,1,11616,0.0923998429510411,0,"drivers",1608
1974-02-01,1974,2,10808,0.108161478199019,0,"drivers",1503
1974-03-01,1974,3,12421,0.10721168869023,0,"drivers",1548
1974-04-01,1974,4,13605,0.114042966782082,0,"drivers",1382
1974-05-01,1974,5,14455,0.112454115810183,0,"drivers",1731
1974-06-01,1974,6,15019,0.111316253290611,0,"drivers",1798
1974-07-01,1974,7,15662,0.11030125221242,0,"drivers",1779
1974-08-01,1974,8,16745,0.108197177376865,0,"drivers",1887
1974-09-01,1974,9,14717,0.107027443082328,0,"drivers",2004
1974-10-01,1974,10,13756,0.104946980916917,0,"drivers",2077
1974-11-01,1974,11,12531,0.119357749193208,0,"drivers",2092
1974-12-01,1974,12,12568,0.117621904277373,0,"drivers",2051
1975-01-01,1975,1,11249,0.133027420877451,0,"drivers",1577
1975-02-01,1975,2,11096,0.130845243689729,0,"drivers",1356
1975-03-01,1975,3,12637,0.128318477474772,0,"drivers",1652
1975-04-01,1975,4,13018,0.123547448292297,0,"drivers",1382
1975-05-01,1975,5,15005,0.118586811514179,0,"drivers",1519
1975-06-01,1975,6,15235,0.116337480161004,0,"drivers",1421
1975-07-01,1975,7,15552,0.11516147558196,0,"drivers",1442
1975-08-01,1975,8,16905,0.114501197216867,0,"drivers",1543
1975-09-01,1975,9,14776,0.113522979499817,0,"drivers",1656
1975-10-01,1975,10,14104,0.111930179432996,0,"drivers",1561
1975-11-01,1975,11,12854,0.110610528503361,0,"drivers",1905
1975-12-01,1975,12,12956,0.11527438914664,0,"drivers",2199
1976-01-01,1976,1,12177,0.113793485966034,0,"drivers",1473
1976-02-01,1976,2,11918,0.112349582098189,0,"drivers",1655
1976-03-01,1976,3,13517,0.111753469387189,0,"drivers",1407
1976-04-01,1976,4,14417,0.109642522576533,0,"drivers",1395
1976-05-01,1976,5,15911,0.10844089510559,0,"drivers",1530
1976-06-01,1976,6,15589,0.107884938936114,0,"drivers",1309
1976-07-01,1976,7,16543,0.109084769191454,0,"drivers",1526
1976-08-01,1976,8,17925,0.107571450111271,0,"drivers",1327
1976-09-01,1976,9,15406,0.106164022368002,0,"drivers",1627
1976-10-01,1976,10,14601,0.106299999323319,0,"drivers",1748
1976-11-01,1976,11,13107,0.104825313000088,0,"drivers",1958
1976-12-01,1976,12,12268,0.103451745711815,0,"drivers",2274
1977-01-01,1977,1,11972,0.101449920129493,0,"drivers",1648
1977-02-01,1977,2,12028,0.100402316427863,0,"drivers",1401
1977-03-01,1977,3,14033,0.098862033680192,0,"drivers",1411
1977-04-01,1977,4,14244,0.102496154313521,0,"drivers",1403
1977-05-01,1977,5,15287,0.103027431599736,0,"drivers",1394
1977-06-01,1977,6,16954,0.102178908220655,0,"drivers",1520
1977-07-01,1977,7,17361,0.0998366428726473,0,"drivers",1528
1977-08-01,1977,8,17694,0.0926366895833353,0,"drivers",1643
1977-09-01,1977,9,16222,0.0918149629077569,0,"drivers",1515
1977-10-01,1977,10,14969,0.090724303768407,0,"drivers",1685
1977-11-01,1977,11,13624,0.0900212072768793,0,"drivers",2000
1977-12-01,1977,12,13842,0.0893307058230937,0,"drivers",2215
1978-01-01,1978,1,12387,0.0884427348717763,0,"drivers",1956
1978-02-01,1978,2,11608,0.0883525692744791,0,"drivers",1462
1978-03-01,1978,3,15021,0.0867573619308237,0,"drivers",1563
1978-04-01,1978,4,14834,0.0849952420449752,0,"drivers",1459
1978-05-01,1978,5,16565,0.0845679437213488,0,"drivers",1446
1978-06-01,1978,6,16882,0.0844318988774436,0,"drivers",1622
1978-07-01,1978,7,18012,0.0843508831482932,0,"drivers",1657
1978-08-01,1978,8,18855,0.0836009830491076,0,"drivers",1638
1978-09-01,1978,9,17243,0.0834172630524962,0,"drivers",1643
1978-10-01,1978,10,16045,0.0827451397987249,0,"drivers",1683
1978-11-01,1978,11,14745,0.0852352669035281,0,"drivers",2050
1978-12-01,1978,12,13726,0.0847703028296526,0,"drivers",2262
1979-01-01,1979,1,11196,0.0844589214084587,0,"drivers",1813
1979-02-01,1979,2,12105,0.085352119244763,0,"drivers",1445
1979-03-01,1979,3,14723,0.0875592125175749,0,"drivers",1762
1979-04-01,1979,4,15582,0.0903829170614837,0,"drivers",1461
1979-05-01,1979,5,16863,0.0907832937355188,0,"drivers",1556
1979-06-01,1979,6,16758,0.108742780219868,0,"drivers",1431
1979-07-01,1979,7,17434,0.114142227335262,0,"drivers",1427
1979-08-01,1979,8,18359,0.112992933231466,0,"drivers",1554
1979-09-01,1979,9,17189,0.111320706029796,0,"drivers",1645
1979-10-01,1979,10,16909,0.109126229280665,0,"drivers",1653
1979-11-01,1979,11,15380,0.107698459343112,0,"drivers",2016
1979-12-01,1979,12,15161,0.107601574334496,0,"drivers",2207
1980-01-01,1980,1,14027,0.103775019202843,0,"drivers",1665
1980-02-01,1980,2,14478,0.107114170431059,0,"drivers",1361
1980-03-01,1980,3,16155,0.107374774370757,0,"drivers",1506
1980-04-01,1980,4,16585,0.111695372689559,0,"drivers",1360
1980-05-01,1980,5,18117,0.110638184592354,0,"drivers",1453
1980-06-01,1980,6,17552,0.111855211329895,0,"drivers",1522
1980-07-01,1980,7,18299,0.109742342683337,0,"drivers",1460
1980-08-01,1980,8,19361,0.108193931510232,0,"drivers",1552
1980-09-01,1980,9,17924,0.106255362697951,0,"drivers",1548
1980-10-01,1980,10,17872,0.104193034427699,0,"drivers",1827
1980-11-01,1980,11,16058,0.101933972880902,0,"drivers",1737
1980-12-01,1980,12,15746,0.102793824574291,0,"drivers",1941
1981-01-01,1981,1,15226,0.10476034144929,0,"drivers",1474
1981-02-01,1981,2,14932,0.104002535534347,0,"drivers",1458
1981-03-01,1981,3,16846,0.116655515402424,0,"drivers",1542
1981-04-01,1981,4,16854,0.11516147558196,0,"drivers",1404
1981-05-01,1981,5,18146,0.112989543494316,0,"drivers",1522
1981-06-01,1981,6,17559,0.113860643932406,0,"drivers",1385
1981-07-01,1981,7,18655,0.119118081064489,0,"drivers",1641
1981-08-01,1981,8,19453,0.124489986005886,0,"drivers",1510
1981-09-01,1981,9,17923,0.123222945411622,0,"drivers",1681
1981-10-01,1981,10,17915,0.12067793212866,0,"drivers",1938
1981-11-01,1981,11,16496,0.121048982651421,0,"drivers",1868
1981-12-01,1981,12,13544,0.116968571491487,0,"drivers",1726
1982-01-01,1982,1,13601,0.112750259392875,0,"drivers",1456
1982-02-01,1982,2,15667,0.108079306704711,0,"drivers",1445
1982-03-01,1982,3,17358,0.108838515984019,0,"drivers",1456
1982-04-01,1982,4,18112,0.111291766408542,0,"drivers",1365
1982-05-01,1982,5,18581,0.111304009176187,0,"drivers",1487
1982-06-01,1982,6,18759,0.115454357532553,0,"drivers",1558
1982-07-01,1982,7,20668,0.114768296055692,0,"drivers",1488
1982-08-01,1982,8,21040,0.117207430931122,0,"drivers",1684
1982-09-01,1982,9,18993,0.119076397031248,0,"drivers",1594
1982-10-01,1982,10,18668,0.117965862171995,0,"drivers",1850
1982-11-01,1982,11,16768,0.117449127100423,0,"drivers",1998
1982-12-01,1982,12,16551,0.116988457838933,0,"drivers",2079
1983-01-01,1983,1,16231,0.11261053571781,0,"drivers",1494
1983-02-01,1983,2,15511,0.113657015681422,1,"drivers",1057
1983-03-01,1983,3,18308,0.113144445252379,1,"drivers",1218
1983-04-01,1983,4,17793,0.118495534815352,1,"drivers",1168
1983-05-01,1983,5,19205,0.117969401200945,1,"drivers",1236
1983-06-01,1983,6,19162,0.1176866141183,1,"drivers",1076
1983-07-01,1983,7,20997,0.120059238961094,1,"drivers",1174
1983-08-01,1983,8,20705,0.119437745680998,1,"drivers",1139
1983-09-01,1983,9,18759,0.118881271786551,1,"drivers",1427
1983-10-01,1983,10,19240,0.118462360710195,1,"drivers",1487
1983-11-01,1983,11,17504,0.118016598400236,1,"drivers",1483
1983-12-01,1983,12,16591,0.117706622543368,1,"drivers",1513
1984-01-01,1984,1,16224,0.117776089941536,1,"drivers",1357
1984-02-01,1984,2,16670,0.114796991716514,1,"drivers",1165
1984-03-01,1984,3,18539,0.11573525277085,1,"drivers",1282
1984-04-01,1984,4,19759,0.115356263024722,1,"drivers",1110
1984-05-01,1984,5,19584,0.114815360704668,1,"drivers",1297
1984-06-01,1984,6,19976,0.114777477886645,1,"drivers",1185
1984-07-01,1984,7,21486,0.114935980147534,1,"drivers",1222
1984-08-01,1984,8,21626,0.114796991716514,1,"drivers",1284
1984-09-01,1984,9,20195,0.114093156728444,1,"drivers",1444
1984-10-01,1984,10,19928,0.116465521799171,1,"drivers",1575
1984-11-01,1984,11,18564,0.116026113132354,1,"drivers",1737
1984-12-01,1984,12,18149,0.116066729379379,1,"drivers",1763
1969-01-01,1969,1,9059,0.102971811805368,0,"front",867
1969-02-01,1969,2,7685,0.102362995884646,0,"front",825
1969-03-01,1969,3,9963,0.102062490635914,0,"front",806
1969-04-01,1969,4,10955,0.100873300511862,0,"front",814
1969-05-01,1969,5,11823,0.101019672891934,0,"front",991
1969-06-01,1969,6,12391,0.10058119170287,0,"front",945
1969-07-01,1969,7,13460,0.103773981457839,0,"front",1004
1969-08-01,1969,8,14055,0.104076403554621,0,"front",1091
1969-09-01,1969,9,12106,0.103773981457839,0,"front",958
1969-10-01,1969,10,11372,0.103026401330572,0,"front",850
1969-11-01,1969,11,9834,0.102730112155946,0,"front",1109
1969-12-01,1969,12,9267,0.101997191539847,0,"front",1113
1970-01-01,1970,1,9130,0.101274563494893,0,"front",925
1970-02-01,1970,2,8933,0.10070397563972,0,"front",903
1970-03-01,1970,3,11000,0.100139606658898,0,"front",1006
1970-04-01,1970,4,10733,0.0986211043713023,0,"front",892
1970-05-01,1970,5,12912,0.0983492854059603,0,"front",990
1970-06-01,1970,6,12926,0.0980801772105387,0,"front",866
1970-07-01,1970,7,13990,0.0972792082183714,0,"front",1095
1970-08-01,1970,8,14926,0.0974106238350488,0,"front",1204
1970-09-01,1970,9,12900,0.0974252365245483,0,"front",1029
1970-10-01,1970,10,12034,0.0963806330037465,0,"front",1147
1970-11-01,1970,11,10643,0.0957389559626943,0,"front",1171
1970-12-01,1970,12,10742,0.0951063062359475,0,"front",1299
1971-01-01,1971,1,10266,0.0967359671470176,0,"front",944
1971-02-01,1971,2,10281,0.0961092224873678,0,"front",874
1971-03-01,1971,3,11527,0.095367254851379,0,"front",840
1971-04-01,1971,4,12281,0.0947095915871269,0,"front",893
1971-05-01,1971,5,13587,0.0941176202174608,0,"front",1007
1971-06-01,1971,6,13049,0.0935321548190638,0,"front",973
