"Class","Sex","Age","survived"
"1st","Male","Child",1
"1st","Male","Child",1
"1st","Male","Child",1
"1st","Male","Child",1
"1st","Male","Child",1
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",0
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Male","Adult",1
"1st","Female","Child",1
"1st","Female","Adult",0
"1st","Female","Adult",0
"1st","Female","Adult",0
"1st","Female","Adult",0
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"1st","Female","Adult",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Child",1
"2nd","Male","Adult",0
"2nd","Male","Adult",0
